source_day,track,due_study_day,review_kind,status
1,dsa,2,recall,pending
1,dsa,8,cold-solve,pending
1,dsa,22,cold-solve,pending
2,dsa,3,recall,pending
2,dsa,9,cold-solve,pending
2,dsa,23,cold-solve,pending
3,dsa,4,recall,pending
3,dsa,10,cold-solve,pending
3,dsa,24,cold-solve,pending
4,dsa,5,recall,pending
4,dsa,11,cold-solve,pending
4,dsa,25,cold-solve,pending
5,dsa,6,recall,pending
5,dsa,12,cold-solve,pending
5,dsa,26,cold-solve,pending
6,dsa,7,recall,pending
6,dsa,13,cold-solve,pending
6,dsa,27,cold-solve,pending
8,dsa,9,recall,pending
8,dsa,15,cold-solve,pending
8,dsa,29,cold-solve,pending
9,dsa,10,recall,pending
9,dsa,16,cold-solve,pending
9,dsa,30,cold-solve,pending
10,dsa,11,recall,pending
10,dsa,17,cold-solve,pending
10,dsa,31,cold-solve,pending
11,dsa,12,recall,pending
11,dsa,18,cold-solve,pending
11,dsa,32,cold-solve,pending
12,dsa,13,recall,pending
12,dsa,19,cold-solve,pending
12,dsa,33,cold-solve,pending
13,dsa,14,recall,pending
13,dsa,20,cold-solve,pending
13,dsa,34,cold-solve,pending
15,dsa,16,recall,pending
15,dsa,22,cold-solve,pending
15,dsa,36,cold-solve,pending
16,dsa,17,recall,pending
16,dsa,23,cold-solve,pending
16,dsa,37,cold-solve,pending
17,dsa,18,recall,pending
17,dsa,24,cold-solve,pending
17,dsa,38,cold-solve,pending
18,dsa,19,recall,pending
18,dsa,25,cold-solve,pending
18,dsa,39,cold-solve,pending
19,dsa,20,recall,pending
19,dsa,26,cold-solve,pending
19,dsa,40,cold-solve,pending
20,dsa,21,recall,pending
20,dsa,27,cold-solve,pending
20,dsa,41,cold-solve,pending
22,dsa,23,recall,pending
22,dsa,29,cold-solve,pending
22,dsa,43,cold-solve,pending
23,dsa,24,recall,pending
23,dsa,30,cold-solve,pending
23,dsa,44,cold-solve,pending
24,dsa,25,recall,pending
24,dsa,31,cold-solve,pending
24,dsa,45,cold-solve,pending
25,dsa,26,recall,pending
25,dsa,32,cold-solve,pending
25,dsa,46,cold-solve,pending
26,dsa,27,recall,pending
26,dsa,33,cold-solve,pending
26,dsa,47,cold-solve,pending
27,dsa,28,recall,pending
27,dsa,34,cold-solve,pending
27,dsa,48,cold-solve,pending
29,dsa,30,recall,pending
29,dsa,36,cold-solve,pending
29,dsa,50,cold-solve,pending
30,dsa,31,recall,pending
30,dsa,37,cold-solve,pending
30,dsa,51,cold-solve,pending
31,dsa,32,recall,pending
31,dsa,38,cold-solve,pending
31,dsa,52,cold-solve,pending
32,dsa,33,recall,pending
32,dsa,39,cold-solve,pending
32,dsa,53,cold-solve,pending
33,dsa,34,recall,pending
33,dsa,40,cold-solve,pending
33,dsa,54,cold-solve,pending
34,dsa,35,recall,pending
34,dsa,41,cold-solve,pending
34,dsa,55,cold-solve,pending
36,dsa,37,recall,pending
36,dsa,43,cold-solve,pending
36,dsa,57,cold-solve,pending
37,dsa,38,recall,pending
37,dsa,44,cold-solve,pending
37,dsa,58,cold-solve,pending
38,dsa,39,recall,pending
38,dsa,45,cold-solve,pending
38,dsa,59,cold-solve,pending
39,dsa,40,recall,pending
39,dsa,46,cold-solve,pending
39,dsa,60,cold-solve,pending
40,dsa,41,recall,pending
40,dsa,47,cold-solve,pending
40,dsa,61,cold-solve,pending
41,dsa,42,recall,pending
41,dsa,48,cold-solve,pending
41,dsa,62,cold-solve,pending
43,dsa,44,recall,pending
43,dsa,50,cold-solve,pending
43,dsa,64,cold-solve,pending
44,dsa,45,recall,pending
44,dsa,51,cold-solve,pending
44,dsa,65,cold-solve,pending
45,dsa,46,recall,pending
45,dsa,52,cold-solve,pending
45,dsa,66,cold-solve,pending
46,dsa,47,recall,pending
46,dsa,53,cold-solve,pending
46,dsa,67,cold-solve,pending
47,dsa,48,recall,pending
47,dsa,54,cold-solve,pending
47,dsa,68,cold-solve,pending
48,dsa,49,recall,pending
48,dsa,55,cold-solve,pending
48,dsa,69,cold-solve,pending
50,dsa,51,recall,pending
50,dsa,57,cold-solve,pending
50,dsa,71,cold-solve,pending
51,dsa,52,recall,pending
51,dsa,58,cold-solve,pending
51,dsa,72,cold-solve,pending
52,dsa,53,recall,pending
52,dsa,59,cold-solve,pending
52,dsa,73,cold-solve,pending
53,dsa,54,recall,pending
53,dsa,60,cold-solve,pending
53,dsa,74,cold-solve,pending
54,dsa,55,recall,pending
54,dsa,61,cold-solve,pending
54,dsa,75,cold-solve,pending
55,dsa,56,recall,pending
55,dsa,62,cold-solve,pending
55,dsa,76,cold-solve,pending
57,dsa,58,recall,pending
57,dsa,64,cold-solve,pending
57,dsa,78,cold-solve,pending
58,dsa,59,recall,pending
58,dsa,65,cold-solve,pending
58,dsa,79,cold-solve,pending
59,dsa,60,recall,pending
59,dsa,66,cold-solve,pending
59,dsa,80,cold-solve,pending
60,dsa,61,recall,pending
60,dsa,67,cold-solve,pending
60,dsa,81,cold-solve,pending
61,dsa,62,recall,pending
61,dsa,68,cold-solve,pending
61,dsa,82,cold-solve,pending
62,dsa,63,recall,pending
62,dsa,69,cold-solve,pending
62,dsa,83,cold-solve,pending
64,dsa,65,recall,pending
64,dsa,71,cold-solve,pending
64,dsa,85,cold-solve,pending
65,dsa,66,recall,pending
65,dsa,72,cold-solve,pending
65,dsa,86,cold-solve,pending
66,dsa,67,recall,pending
66,dsa,73,cold-solve,pending
66,dsa,87,cold-solve,pending
67,dsa,68,recall,pending
67,dsa,74,cold-solve,pending
67,dsa,88,cold-solve,pending
68,dsa,69,recall,pending
68,dsa,75,cold-solve,pending
68,dsa,89,cold-solve,pending
69,dsa,70,recall,pending
69,dsa,76,cold-solve,pending
69,dsa,90,cold-solve,pending
71,dsa,72,recall,pending
71,dsa,78,cold-solve,pending
71,dsa,92,cold-solve,pending
72,dsa,73,recall,pending
72,dsa,79,cold-solve,pending
72,dsa,93,cold-solve,pending
73,dsa,74,recall,pending
73,dsa,80,cold-solve,pending
73,dsa,94,cold-solve,pending
74,dsa,75,recall,pending
74,dsa,81,cold-solve,pending
74,dsa,95,cold-solve,pending
75,dsa,76,recall,pending
75,dsa,82,cold-solve,pending
75,dsa,96,cold-solve,pending
76,dsa,77,recall,pending
76,dsa,83,cold-solve,pending
76,dsa,97,cold-solve,pending
78,dsa,79,recall,pending
78,dsa,85,cold-solve,pending
78,dsa,99,cold-solve,pending
79,dsa,80,recall,pending
79,dsa,86,cold-solve,pending
79,dsa,100,cold-solve,pending
80,dsa,81,recall,pending
80,dsa,87,cold-solve,pending
80,dsa,101,cold-solve,pending
81,dsa,82,recall,pending
81,dsa,88,cold-solve,pending
81,dsa,102,cold-solve,pending
82,dsa,83,recall,pending
82,dsa,89,cold-solve,pending
82,dsa,103,cold-solve,pending
83,dsa,84,recall,pending
83,dsa,90,cold-solve,pending
83,dsa,104,cold-solve,pending
85,dsa,86,recall,pending
85,dsa,92,cold-solve,pending
85,dsa,106,cold-solve,pending
86,dsa,87,recall,pending
86,dsa,93,cold-solve,pending
86,dsa,107,cold-solve,pending
87,dsa,88,recall,pending
87,dsa,94,cold-solve,pending
87,dsa,108,cold-solve,pending
88,dsa,89,recall,pending
88,dsa,95,cold-solve,pending
88,dsa,109,cold-solve,pending
89,dsa,90,recall,pending
89,dsa,96,cold-solve,pending
89,dsa,110,cold-solve,pending
90,dsa,91,recall,pending
90,dsa,97,cold-solve,pending
90,dsa,111,cold-solve,pending
92,dsa,93,recall,pending
92,dsa,99,cold-solve,pending
92,dsa,113,cold-solve,pending
93,dsa,94,recall,pending
93,dsa,100,cold-solve,pending
93,dsa,114,cold-solve,pending
94,dsa,95,recall,pending
94,dsa,101,cold-solve,pending
94,dsa,115,cold-solve,pending
95,dsa,96,recall,pending
95,dsa,102,cold-solve,pending
95,dsa,116,cold-solve,pending
96,dsa,97,recall,pending
96,dsa,103,cold-solve,pending
96,dsa,117,cold-solve,pending
97,dsa,98,recall,pending
97,dsa,104,cold-solve,pending
97,dsa,118,cold-solve,pending
99,dsa,100,recall,pending
99,dsa,106,cold-solve,pending
99,dsa,120,cold-solve,pending
100,dsa,101,recall,pending
100,dsa,107,cold-solve,pending
100,dsa,121,cold-solve,pending
101,dsa,102,recall,pending
101,dsa,108,cold-solve,pending
101,dsa,122,cold-solve,pending
102,dsa,103,recall,pending
102,dsa,109,cold-solve,pending
102,dsa,123,cold-solve,pending
103,dsa,104,recall,pending
103,dsa,110,cold-solve,pending
103,dsa,124,cold-solve,pending
104,dsa,105,recall,pending
104,dsa,111,cold-solve,pending
104,dsa,125,cold-solve,pending
106,dsa,107,recall,pending
106,dsa,113,cold-solve,pending
106,dsa,127,cold-solve,pending
107,dsa,108,recall,pending
107,dsa,114,cold-solve,pending
107,dsa,128,cold-solve,pending
108,dsa,109,recall,pending
108,dsa,115,cold-solve,pending
108,dsa,129,cold-solve,pending
109,dsa,110,recall,pending
109,dsa,116,cold-solve,pending
109,dsa,130,cold-solve,pending
110,dsa,111,recall,pending
110,dsa,117,cold-solve,pending
110,dsa,131,cold-solve,pending
111,dsa,112,recall,pending
111,dsa,118,cold-solve,pending
111,dsa,132,cold-solve,pending
113,dsa,114,recall,pending
113,dsa,120,cold-solve,pending
113,dsa,134,cold-solve,pending
114,dsa,115,recall,pending
114,dsa,121,cold-solve,pending
114,dsa,135,cold-solve,pending
115,dsa,116,recall,pending
115,dsa,122,cold-solve,pending
115,dsa,136,cold-solve,pending
116,dsa,117,recall,pending
116,dsa,123,cold-solve,pending
116,dsa,137,cold-solve,pending
117,dsa,118,recall,pending
117,dsa,124,cold-solve,pending
117,dsa,138,cold-solve,pending
118,dsa,119,recall,pending
118,dsa,125,cold-solve,pending
118,dsa,139,cold-solve,pending
120,dsa,121,recall,pending
120,dsa,127,cold-solve,pending
120,dsa,141,cold-solve,pending
121,dsa,122,recall,pending
121,dsa,128,cold-solve,pending
121,dsa,142,cold-solve,pending
122,dsa,123,recall,pending
122,dsa,129,cold-solve,pending
122,dsa,143,cold-solve,pending
123,dsa,124,recall,pending
123,dsa,130,cold-solve,pending
123,dsa,144,cold-solve,pending
124,dsa,125,recall,pending
124,dsa,131,cold-solve,pending
124,dsa,145,cold-solve,pending
125,dsa,126,recall,pending
125,dsa,132,cold-solve,pending
125,dsa,146,cold-solve,pending
127,dsa,128,recall,pending
127,dsa,134,cold-solve,pending
127,dsa,148,cold-solve,pending
128,dsa,129,recall,pending
128,dsa,135,cold-solve,pending
128,dsa,149,cold-solve,pending
129,dsa,130,recall,pending
129,dsa,136,cold-solve,pending
129,dsa,150,cold-solve,pending
130,dsa,131,recall,pending
130,dsa,137,cold-solve,pending
130,dsa,151,cold-solve,pending
131,dsa,132,recall,pending
131,dsa,138,cold-solve,pending
131,dsa,152,cold-solve,pending
132,dsa,133,recall,pending
132,dsa,139,cold-solve,pending
132,dsa,153,cold-solve,pending
134,dsa,135,recall,pending
134,dsa,141,cold-solve,pending
134,dsa,155,cold-solve,pending
135,dsa,136,recall,pending
135,dsa,142,cold-solve,pending
135,dsa,156,cold-solve,pending
136,dsa,137,recall,pending
136,dsa,143,cold-solve,pending
136,dsa,157,cold-solve,pending
137,dsa,138,recall,pending
137,dsa,144,cold-solve,pending
137,dsa,158,cold-solve,pending
138,dsa,139,recall,pending
138,dsa,145,cold-solve,pending
138,dsa,159,cold-solve,pending
139,dsa,140,recall,pending
139,dsa,146,cold-solve,pending
139,dsa,160,cold-solve,pending
141,dsa,142,recall,pending
141,dsa,148,cold-solve,pending
141,dsa,162,cold-solve,pending
142,dsa,143,recall,pending
142,dsa,149,cold-solve,pending
142,dsa,163,cold-solve,pending
143,dsa,144,recall,pending
143,dsa,150,cold-solve,pending
143,dsa,164,cold-solve,pending
144,dsa,145,recall,pending
144,dsa,151,cold-solve,pending
144,dsa,165,cold-solve,pending
145,dsa,146,recall,pending
145,dsa,152,cold-solve,pending
145,dsa,166,cold-solve,pending
146,dsa,147,recall,pending
146,dsa,153,cold-solve,pending
146,dsa,167,cold-solve,pending
148,dsa,149,recall,pending
